station_id,wmo_id,latitude,longitude,elevation_m,site,state,country,site_type
NZSP,,-90,0,9300,South Pole Station Airport,AQ-U-A,,
AQ-0005,,-89.989444,-1,9300,Jack F. Paulus Skiway,AQ-U-A,,
SCPZ,,-80.31829834,-81.30809784,2900,Patriot Hills Airport,AQ-U-A,Antartica,
SCGC,,-79.777778,-83.320833,2461,Unión Glaciar Airport,AQ-U-A,Antartica,
AT28,,-78.466139,106.84825,11447,Skyway VOSTOK,AQ-U-A,,
NZPG,,-77.96340179,166.5249939,18,McMurdo Station Pegasus Field,AQ-U-A,McMurdo Station,
SAYB,,-77.8740548,-34.62615967,820,Base Belgrano II Airport,AQ-U-A,,
NZWD,,-77.86740112,167.0570068,68,Williams Field,AQ-U-A,McMurdo Station,
NZIR,,-77.85399628,166.4689941,1,McMurdo Station Ice Runway,AQ-U-A,McMurdo Station,
AQ-0004,,-77.650008,-41.0333,0,Base Cientifica Ellsworth,AQ-U-A,,
EGAH,,-75.567406,-25.516435,103,Halley Research Station,AQ-U-A,,
AT03,,-75.103278,123.35825,10725,Concoirdia Skyway,AQ-U-A,,
EGAT,,-74.849722,-71.566666,4740,Sky-Blu Field Station,AQ-U-A,,
AQBC,,-74.740461,164.032745,672,Base aerea  BoulderClay,AQ-U-A,,
AQ-0002,,-71.95559,2.455581,4167,Troll Airfield,AQ-U-A,Troll Station,
AQ-0001,,-70.8461,11.8472,390,Novolazarevskaya Station,AQ-U-A,Queen Maud Land,
AT25,,-69.006167,39.59,95,Showa Station Skiway,AQ-U-A,Showa Station,
SAYS,,-68.11669922,-67.09999847,75,San Martín Base,AQ-U-A,,
EGAR,,-67.5675,-68.12740278,9,Rothera Research Station,AQ-U-A,,
AAXX,,-67.56694116,-68.12699318,0,Rothera Point Airport,AQ-U-A,Rothera Point,
YWKS,,-66.690833,111.523611,2529,Wilkins Runway,AQ-U-A,,
SAWZ,,-64.976998,-60.108992,75,Matienzo Base,AQ-U-A,,
AQ-0003,,-64.824,-62.857,1,González Videla Antarctic Base,AQ-U-A,Waterboat Point,
NZ12,,-64.775002,-64.054398,149,Palmer Station Airport,AQ-U-A,,
SAWB,,-64.23829651,-56.63079834,760,Marambio Base,AQ-U-A,Seymour Island,
SA47,,-63.47900009,-56.23130035,15,Petrel Airport,AQ-U-A,,
SAYE,,-63.40000153,-56.98329926,75,Esperanza Base,AQ-U-A,Hope Bay,
SCBO,,-63.344,-57.842,900,General Bernardo O'Higgins Base Skyway,AQ-U-A,General Bernardo O'Higgins Base,
SAYJ,,-62.23830032,-58.66659927,12,Jubany Airbase,AQ-U-A,South Shetland Archipielago- King George Island,
SCRM,,-62.19079971,-58.98669815,147,Teniente Rodolfo Marsh Martin Base,AQ-U-A,Isla Rey Jorge,
SAYO,,-60.74029922,-44.74250031,75,Orcadas Base,AQ-U-A,Laurie Island,
SCGZ,,-54.93109894,-67.626297,88,Guardiamarina Zañartu Airport,CL-MA,Puerto Williams,
SAWH,,-54.8433,-68.2958,102,Malvinas Argentinas Airport,AR-V,Ushuahia,
SCNY,,-54.83139038,-68.83166504,164,Yendegaia Airport,CL-MA,Navarino,
SAWO,,-54.8227,-68.3043,19,Estación Aeronaval Airport,AR-V,Ushuahia,
SAWL,,-54.52190018,-67.1989975,90,Tolwin Observatory Airport,AR-V,Tolwin (Lago Fagnano)/observatorio MET(TAIS),
SA15,,-54.499699,-67.173103,600,Lago Fagnano North Airport,AR-V,Toluhin,
SCAZ,,-54.47972107,-68.9366684,59,Azopardo Airport,CL-MA,Timaukel,
AR-0002,,-54.34410095,-67.832901,1914,Los Cerros Airport,AR-V,Los Cerros,
AR-0510,,-54.069,-67.6536,102,Los Robles Airport,AR-V,Estancia El Roble,
SCBI,,-54.049977,-68.809193,591,Pampa Guanaco Airport,CL-MA,Bahia Inutil,
AR-0003,,-53.98270035,-68.52359772,201,Rio Bellavista Airport,AR-V,Rio Bellavista,
CL-0007,,-53.8924,-68.8,342,Arco Iris Airport,CL-MA,Rio Grande,
SCFN,,-53.799,-69.12,684,Russfin Airport,CL-MA,Timaukel,
SAWE,,-53.7777,-67.7494,65,Hermes Quijada International Airport,AR-V,Rio Grande,
AR-0509,,-53.642,-67.9486,26,Rio Chico Highway Strip,AR-V,,
SCDW,,-53.6106987,-70.47049713,160,Almirante Schroeders Airport,CL-MA,Isla Dawson,
AR-0508,,-53.432,-68.167,52,Sara Airport,AR-V,Estancia Sara,
CL-0006,,-53.3812,-69.293,39,Onaisin Airport,CL-MA,Onaisin,
SCSS,,-53.31700134,-68.65000153,50,San Sebastián Airport,CL-MA,San Sebastian,
SCFM,,-53.25370026,-70.31919861,104,Capitan Fuentes Martinez Airport Airport,CL-MA,Porvenir,
CL-0001,,-53.1315,-70.87,30,Bahia Catalina Airport,CL-MA,Punta Arenas,
CL-0002,,-53.064,-70.26,36,Gente Grande Airport,CL-MA,Porvenir,
SCCI,,-53.002602,-70.854599,139,Pdte. Carlos Ibañez del Campo Airport,CL-MA,Punta Arenas,
SCIT,,-52.95500183,-70.03279877,144,Iván Martinez Airport,CL-MA,Isla Tierra Del Fuego,
AR-0507,,-52.9435,-68.4021,120,Estancia Cullen South Airport,AR-V,Estancia Cullen,
AR-0001,,-52.88510132,-68.41220093,132,Cullen Airport,AR-V,Cullen,
SCID,,-52.87361145,-70.75,30,Marco Davison Bascur Airport,CL-MA,Punta Arenas,
SCSB,,-52.73669815,-69.33360291,104,Franco Bianco Airport,CL-MA,Cerro Sombrero,
CL-0004,,-52.595,-70.3521,84,Cinco de Enero Airport,CL-MA,Santa Maria,
SCPX,,-52.59166718,-68.75,90,Punta Catalina Airport,CL-MA,Punta Catalina,
CL-0005,,-52.5427,-70.535,161,Oazy Harbour Airport,CL-MA,,
SCTH,,-52.525278,-70.723889,322,Tres Chorrillos Airport,CL-MA,San Gregorio,
FK-0034,,-52.441146,-59.127616,0,Sea Lion Island Airstrip,FK-U-A,Sea Lion Island,
FK-0003,,-52.428215,-59.077744,0,Sea Lion Lodge Airstrip,FK-U-A,Sea Lion Island,
